Ref,X,Y,R,Side,Type
D1,20,108,0,Top,THT
D2,20,103,0,Top,THT
D3,20,98,0,Top,THT
D4,20,93,0,Top,THT
D5,20,88,0,Top,THT
D6,20,83,0,Top,THT
D7,20,78,0,Top,THT
D8,20,73,0,Top,THT
H1,7,88.5,0,Bottom,THT
H2,7,73.5,0,Bottom,THT
H3,7,58.5,0,Bottom,THT
H4,7,43.5,0,Bottom,THT
H5,7,28.5,0,Bottom,THT
J1,7.5,96,90,Top,THT
J2,7.5,81,90,Top,THT
J3,7.5,66,90,Top,THT
J4,7.5,51,90,Top,THT
J5,7.5,36,90,Top,THT
J6,7.5,17,0,Top,THT
J7,20,17,0,Top,THT
J8,32.5,17,0,Top,THT
J9,7.5,4.5,90,Top,THT
J10,32.5,4.5,270,Top,THT
P1,32.5,96,180,Top,THT
P2,32.5,81,180,Top,THT
P3,32.5,66,180,Top,THT
P4,20,58.5,180,Top,THT
P5,32.5,51,180,Top,THT
P6,20,43.5,180,Top,THT
P7,32.5,36,180,Top,THT
S1,7.5,106.5,0,Top,THT
S2,32.5,106.5,0,Top,THT
