Ref,Qty,Desc,Mfg,MPN
C1 C2 C3 C4 C8 C9 C32 C35,8,CAP CER 1000PF 50V C0G/NP0 0603,Murata Electronics,GRM1885C1H102JA01D
C5 C10 C11 C13 C14 C15 C16 C18 C19 C22 C25 C27 C28 C29 C30 C31 C34 C37 C39 C41 C43 C47,22,CAP CER 0.1UF 25V X7R 0603,Murata Electronics,GCM188R71E104KA57D
C6 C7 C33 C36,4,CAP CER 100PF 50V C0G/NP0 0603,Vishay Vitramon,VJ0603A101JXACW1BC
C12 C42 C44 C46 C50,5,CAP ALUM 10UF 20% 25V SMD,Würth Elektronik,865230440002
C17 C21 C24 C26 C48,5,CAP CER 1UF 25V X5R 0603,YAGEO,CC0603KRX5R8BB105
C20 C23,2,CAP CER 20PF 50V C0G/NP0 0603,Samsung Electro-Mechanics,CL10C200JB8NNNC
C38 C40,2,CAP CER 2.2UF 25V X5R 0805,Samsung Electro-Mechanics,CL21A225KAFNNNG
C45 C52,2,CAP ALUM 22UF 20% 25V SMD,Würth Elektronik,865230443003
C49 C51 C53,3,CAP CER 22UF 25V X5R 1206,Samsung Electro-Mechanics,CL31A226KAHNNNE
D1 D2 D3 D4 D5 D6 D7 D8,8,VARISTOR 65V 0603,EPCOS - TDK Electronics,B72500D0160H060
D9,1,DIODE ARR SCHOTT 30V 200MA SOT23,onsemi,BAT54SLT1G
D10 D11,2,DIODE SCHOTTKY 40V 1A SOD123,Diodes Incorporated,1N5819HW-7-F
H1 H2 H3 H4 H5,5,FEMALE HEADER VERTICAL THROUGH H,SUPERIOR TECH,FHMD-DA010G1NBON-B
H7,1,CONN HEADER VERT 10POS 1.27MM,CNC Tech,3220-10-0100-00
H8,1,CONN HEADER VERT 10POS 2.54MM,On Shore Technology Inc.,302-S101
L1 L2 L3 L5,4,FERRITE BEAD 1K OHM 0603 1LN,Würth Elektronik,742792664
L4,1,FIXED IND 33UH 190MA 2.6 OHM SMD,TDK Corporation,MLZ2012M330WT000
R1 R6 R7 R12 R13 R18 R19 R24,8,RES SMD 100K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1003V
R2 R8 R23,3,RES SMD 120K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1203V
R3 R9 R22,3,RES SMD 20K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF2002V
R4 R10 R16 R21 R39 R42,6,RES SMD 33K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF3302V
R5 R14 R17,3,RES SMD 200K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF2003V
R11,1,RES SMD 140K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1403V
R15,1,RES SMD 56K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF5602V
R20,1,RES SMD 110K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1103V
R25 R27 R28 R29 R30 R31 R33 R38 R41,9,RES SMD 10K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1002V
R26 R32 R34 R35,4,RES SMD 100 OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF1000V
R36 R43,2,RES 1K OHM 1% 1/4W 0603,Rohm Semiconductor,ESR03EZPF1001
R37 R40 R44,3,RES SMD 2.2K OHM 1% 1/10W 0603,Panasonic Electronic Components,ERJ-3EKF2201V
U1 U2,2,IC OPAMP GP 4 CIRCUIT 14TSSOP,Microchip Technology,MCP6004T-I/ST
U3,1,IC LED DRIVER LINEAR 35MA 24SSOP,Texas Instruments,TLC59281DBQR
U4,1,IC MCU 32BIT 256KB FLASH 48LQFP,STMicroelectronics,STM32F373CCT6
U5,1,IC OPAMP JFET 2 CIRCUIT 8SOIC,Texas Instruments,TL072CDR
U6,1,IC DAC 16/24/32BIT 384K 20TSSOP,Texas Instruments,PCM5100APWR
U7,1,IC VREF SHUNT 0.5% SOT23-3,Texas Instruments,LM4040C10IDBZR
U8,1,IC REG LINEAR 3.3V 100MA SOT23-5,STMicroelectronics,LD2981ABM33TR
U9,1,DC DC CONVERTER 3.3V 2W,Recom Power,R-78E3.3-0.5
X1,1,CRYSTAL 8.0000MHZ 18PF SMD,Abracon LLC,ABMM2-8.000MHZ-E2-T
