Ref,X,Y,R,Side,Type
FIDUCIAL,5.5,94,0,Top,MARK
FIDUCIAL,38,71.5,0,Top,MARK
FIDUCIAL,2.5,10.5,0,Top,MARK
C1,15.25,107.5,90,Top,SMD
C2,24.75,107.5,90,Top,SMD
C3,15.25,104,270,Top,SMD
C4,24.75,104,270,Top,SMD
C5,20,102.25,0,Top,SMD
C6,15.25,100.5,90,Top,SMD
C7,24.75,100.5,90,Top,SMD
C8,15.25,97,270,Top,SMD
C9,24.75,97,270,Top,SMD
C10,20,95.25,0,Top,SMD
C11,6.5,81.5,90,Top,SMD
C12,10.25,81.5,90,Top,SMD
C13,8.75,62.25,180,Top,SMD
C14,12,62.25,180,Top,SMD
C15,33.25,60.75,270,Top,SMD
C16,14.5,60.25,270,Top,SMD
C17,21.25,59.75,0,Top,SMD
C18,21.25,58,0,Top,SMD
C19,14.5,57,90,Top,SMD
C20,2.5,53.5,90,Top,SMD
C21,18,51.25,90,Top,SMD
C22,19.75,51.25,90,Top,SMD
C23,2.5,49.5,90,Top,SMD
C24,32.75,48,180,Top,SMD
C25,18,46.5,270,Top,SMD
C26,28.5,46.5,180,Top,SMD
C27,32.75,46.25,180,Top,SMD
C28,28.5,44.75,180,Top,SMD
C29,18,43.25,90,Top,SMD
C30,19.75,42.5,90,Top,SMD
C31,15.5,39.5,0,Top,SMD
C32,3.5,38,90,Top,SMD
C33,8.75,38,90,Top,SMD
C34,32.25,35.25,0,Top,SMD
C35,3.5,34,270,Top,SMD
C36,8.75,34,270,Top,SMD
C37,15.5,32.5,0,Top,SMD
C38,38,32.5,90,Top,SMD
C39,26.25,28.75,0,Top,SMD
C40,38,28.5,270,Top,SMD
C41,32.25,25.75,0,Top,SMD
C42,27.5,23.5,0,Top,SMD
C43,32.25,23,90,Top,SMD
C44,36.5,23,90,Top,SMD
C45,14,18,270,Top,SMD
C46,30.5,18,0,Top,SMD
C47,36,16.75,0,Top,SMD
C48,19,16.5,90,Top,SMD
C49,26,13.535,270,Top,SMD
C50,35.5,13,0,Top,SMD
C51,19.25,10.25,270,Top,SMD
C52,14,8,270,Top,SMD
C53,25,5,90,Top,SMD
D1,8.25,107.5,90,Top,SMD
D2,31.75,107.5,90,Top,SMD
D3,8.25,104,270,Top,SMD
D4,31.75,104,270,Top,SMD
D5,8.25,100.5,90,Top,SMD
D6,31.75,100.5,90,Top,SMD
D7,8.25,97,270,Top,SMD
D8,31.75,97,270,Top,SMD
D9,12,66,0,Top,SMD
D10,5,21.5,0,Top,SMD
D11,5,4.5,180,Top,SMD
H1,7,88.5,0,Top,THT
H2,7,73.5,0,Top,THT
H3,7,58.5,0,Top,THT
H4,7,43.5,0,Top,THT
H5,7,28.5,0,Top,THT
H6,38,66,270,Bottom,THT
H7,37.25,56,180,Bottom,THT
H8,7,13,0,Bottom,THT
L1,4.5,81.5,90,Top,SMD
L2,10.5,23,0,Top,SMD
L3,22.75,12,0,Top,SMD
L4,23,9.5,0,Top,SMD
L5,10.5,3,0,Top,SMD
R1,10,107.5,270,Top,SMD
R2,11.75,107.5,270,Top,SMD
R3,13.5,107.5,90,Top,SMD
R4,26.5,107.5,90,Top,SMD
R5,28.25,107.5,270,Top,SMD
R6,30,107.5,270,Top,SMD
R7,10,104,90,Top,SMD
R8,11.75,104,90,Top,SMD
R9,13.5,104,270,Top,SMD
R10,26.5,104,270,Top,SMD
R11,28.25,104,90,Top,SMD
R12,30,104,90,Top,SMD
R13,10,100.5,270,Top,SMD
R14,11.75,100.5,270,Top,SMD
R15,13.5,100.5,90,Top,SMD
R16,26.5,100.5,90,Top,SMD
R17,28.25,100.5,270,Top,SMD
R18,30,100.5,270,Top,SMD
R19,10,97,90,Top,SMD
R20,11.75,97,90,Top,SMD
R21,13.5,97,270,Top,SMD
R22,26.5,97,270,Top,SMD
R23,28.25,97,90,Top,SMD
R24,30,97,90,Top,SMD
R25,15,86.75,270,Top,SMD
R26,34.25,66.5,180,Top,SMD
R27,2.25,66,270,Top,SMD
R28,4,66,270,Top,SMD
R29,5.75,66,270,Top,SMD
R30,7.5,66,270,Top,SMD
R31,9.25,66,270,Top,SMD
R32,34.25,64.75,180,Top,SMD
R33,35,60.75,90,Top,SMD
R34,10,53.5,90,Top,SMD
R35,10,49.5,90,Top,SMD
R36,11.25,39.75,180,Top,SMD
R37,1.75,38,90,Top,SMD
R38,5.25,38,270,Top,SMD
R39,7,38,90,Top,SMD
R40,1.75,34,270,Top,SMD
R41,5.25,34,90,Top,SMD
R42,7,34,270,Top,SMD
R43,11.25,32.25,0,Top,SMD
R44,19,20,90,Top,SMD
U1,20,105.75,90,Top,SMD
U2,20,98.75,90,Top,SMD
U3,17.75,81,90,Top,SMD
U4,27,53,270,Top,SMD
U5,15.5,36,270,Top,SMD
U6,32.25,30.5,180,Top,SMD
U7,22,18.25,180,Top,SMD
U8,29.75,12.25,270,Top,SMD
U9,32.71,3.45,0,Top,THT
X1,6.25,51.5,90,Top,SMD
